fecha,indicador,bloque,unidad,valor
2018-09-19,Dólar CCL,monetario_financiero,$/USD (venta),40.14
2018-09-20,Dólar CCL,monetario_financiero,$/USD (venta),39.5
2018-09-21,Dólar CCL,monetario_financiero,$/USD (venta),38.17
2018-09-22,Dólar CCL,monetario_financiero,$/USD (venta),38.17
2018-09-23,Dólar CCL,monetario_financiero,$/USD (venta),38.17
2018-09-24,Dólar CCL,monetario_financiero,$/USD (venta),37.31
2018-09-25,Dólar CCL,monetario_financiero,$/USD (venta),37.48
2018-09-26,Dólar CCL,monetario_financiero,$/USD (venta),38.38
2018-09-27,Dólar CCL,monetario_financiero,$/USD (venta),38.48
2018-09-28,Dólar CCL,monetario_financiero,$/USD (venta),39.77
2018-09-29,Dólar CCL,monetario_financiero,$/USD (venta),39.77
2018-09-30,Dólar CCL,monetario_financiero,$/USD (venta),39.77
2018-10-01,Dólar CCL,monetario_financiero,$/USD (venta),41.41
2018-10-02,Dólar CCL,monetario_financiero,$/USD (venta),39.53
2018-10-03,Dólar CCL,monetario_financiero,$/USD (venta),38.15
2018-10-04,Dólar CCL,monetario_financiero,$/USD (venta),37.73
2018-10-05,Dólar CCL,monetario_financiero,$/USD (venta),37.73
2018-10-06,Dólar CCL,monetario_financiero,$/USD (venta),37.73
2018-10-07,Dólar CCL,monetario_financiero,$/USD (venta),37.73
2018-10-08,Dólar CCL,monetario_financiero,$/USD (venta),37.82
2018-10-09,Dólar CCL,monetario_financiero,$/USD (venta),37.42
2018-10-10,Dólar CCL,monetario_financiero,$/USD (venta),37.08
2018-10-11,Dólar CCL,monetario_financiero,$/USD (venta),37.51
2018-10-12,Dólar CCL,monetario_financiero,$/USD (venta),36.87
2018-10-13,Dólar CCL,monetario_financiero,$/USD (venta),36.87
2018-10-14,Dólar CCL,monetario_financiero,$/USD (venta),36.87
2018-10-15,Dólar CCL,monetario_financiero,$/USD (venta),36.87
2018-10-16,Dólar CCL,monetario_financiero,$/USD (venta),37.14
2018-10-17,Dólar CCL,monetario_financiero,$/USD (venta),36.2
