fecha,serie,valor
2010-05-01,Tarjetas de crédito,2.9651951589304537
2010-06-01,Tarjetas de crédito,2.7018945293320553
2010-07-01,Tarjetas de crédito,2.6701456610795717
2010-08-01,Tarjetas de crédito,2.5240864863388595
2010-09-01,Tarjetas de crédito,2.266424403850662
2010-10-01,Tarjetas de crédito,2.226278187484314
2010-11-01,Tarjetas de crédito,2.1563281741427924
2010-12-01,Tarjetas de crédito,1.991321961896602
2011-01-01,Tarjetas de crédito,2.0603670007787858
2011-02-01,Tarjetas de crédito,2.0678413081867344
2011-03-01,Tarjetas de crédito,2.0680282029378816
2011-04-01,Tarjetas de crédito,2.0217115803450985
2011-05-01,Tarjetas de crédito,2.014634139070832
2011-06-01,Tarjetas de crédito,1.9358358180424706
2011-07-01,Tarjetas de crédito,1.9256639574902428
2011-08-01,Tarjetas de crédito,1.865171901257785
2011-09-01,Tarjetas de crédito,1.812516452631421
2011-10-01,Tarjetas de crédito,1.8355357665030245
2011-11-01,Tarjetas de crédito,1.7909912473408829
2011-12-01,Tarjetas de crédito,1.7115925325974668
2012-01-01,Tarjetas de crédito,1.807113833522046
2012-02-01,Tarjetas de crédito,1.9347910577053484
2012-03-01,Tarjetas de crédito,2.0225128623541324
2012-04-01,Tarjetas de crédito,2.269940258768524
2012-05-01,Tarjetas de crédito,2.3704870651154004
2012-06-01,Tarjetas de crédito,2.3794077419834
2012-07-01,Tarjetas de crédito,2.3954106236301316
2012-08-01,Tarjetas de crédito,2.3368295640806105
2012-09-01,Tarjetas de crédito,2.3639094264629956
2012-10-01,Tarjetas de crédito,2.3310370606533084
2012-11-01,Tarjetas de crédito,2.225401789760683
2012-12-01,Tarjetas de crédito,2.1954819072955343
2013-01-01,Tarjetas de crédito,2.2884074461637334
2013-02-01,Tarjetas de crédito,2.4536239393137524
2013-03-01,Tarjetas de crédito,2.4528113330515593
2013-04-01,Tarjetas de crédito,2.5011159966964067
2013-05-01,Tarjetas de crédito,2.606224617902804
2013-06-01,Tarjetas de crédito,2.538928856964574
2013-07-01,Tarjetas de crédito,2.437123138088507
2013-08-01,Tarjetas de crédito,2.4447494144323216
2013-09-01,Tarjetas de crédito,2.260103277469106
2013-10-01,Tarjetas de crédito,2.0968016387472823
2013-11-01,Tarjetas de crédito,1.9631208475198356
2013-12-01,Tarjetas de crédito,1.8591564189873213
2014-01-01,Tarjetas de crédito,1.8128470256474492
2014-02-01,Tarjetas de crédito,1.9708650120068831
2014-03-01,Tarjetas de crédito,2.003860338191768
2014-04-01,Tarjetas de crédito,2.105732418786449
2014-05-01,Tarjetas de crédito,2.2277041618452986
2014-06-01,Tarjetas de crédito,2.1819163146115406
2014-07-01,Tarjetas de crédito,2.2155193261304817
2014-08-01,Tarjetas de crédito,2.327233252841241
2014-09-01,Tarjetas de crédito,2.1320833814597213
2014-10-01,Tarjetas de crédito,1.9952116924007735
2014-11-01,Tarjetas de crédito,2.018136944877097
2014-12-01,Tarjetas de crédito,1.7857674379685464
2015-01-01,Tarjetas de crédito,1.8629061367384951
2015-02-01,Tarjetas de crédito,1.8823869792894723
2015-03-01,Tarjetas de crédito,1.8406252906260177
2015-04-01,Tarjetas de crédito,1.904546711978189
2015-05-01,Tarjetas de crédito,1.9063261723757732
2015-06-01,Tarjetas de crédito,1.8171463056826747
2015-07-01,Tarjetas de crédito,1.7796955892827064
2015-08-01,Tarjetas de crédito,1.721940042157278
